orf,E_essential,U,D_enc,D_dec,D,D_dec_raw
YLR378C,1,101,0.4998019801980198,0.016401859799351888,0.008197682006646369,0.003103241869658076
YCL059C,1,232,0.3660247798178833,0.026074399992562055,0.009543876516160944,0.004933292368852471
YMR128W,1,242,0.29505161002709096,0.04846292885268285,0.014299065184612434,0.009169215673203628
YMR003W,0,9,0.6388888888888888,0.0005212945913436047,0.000333049322247303,9.862925436953761e-05
YBR037C,0,5,0.6,1.9211641048380245e-05,1.1526984629028147e-05,3.63485419431101e-06
YBL030C,1,23,0.2608695652173913,0.004253467641997816,0.001109600254434213,0.0008047586700140557
YIL051C,1,12,0.030303030303030304,0.005508169331025082,0.00016691422215227522,0.001042148994218264
YMR014W,0,118,0.6172678545559902,0.02433579618163554,0.015021704697950028,0.004604347468285314
YBR024W,1,4,0.8333333333333334,1.7167779385731212e-05,1.4306482821442678e-05,3.248154322167726e-06
YGR062C,0,7,0.09523809523809523,0.0014558592579394039,0.0001386532626608956,0.000275449458831822
YML043C,1,52,0.25565610859728505,0.00778037062938352,0.0019890992785528004,0.0014720508645924989
YGR222W,0,5,0.4,0.00011453262199953686,4.5813048799814745e-05,2.1669641880777983e-05
YAL001C,1,28,0.8201058201058201,0.0026975260593140524,0.002212256821130572,0.0005103735743484346
YNL039W,1,28,0.8201058201058201,9.331710798544906e-05,7.652990337431008e-05,1.7655653700154926e-05
YPR187W,1,138,0.31746535491378397,0.013299957642319603,0.0042222757732572865,0.0025163600911864877
YNL113W,1,46,0.4444444444444444,0.0027952380133730707,0.001242328005943587,0.0005288607356040158
YGR047C,1,36,0.5174603174603175,0.0006550177637435906,0.00033894569996890565,0.00012392976008118498
YNL151C,1,27,0.9031339031339032,4.581845063904133e-05,4.1380196161185474e-05,8.668878783584852e-06
YHR143W-A,1,136,0.32712418300653595,0.006005962886646669,0.001964695702461868,0.0011363318383071958
YDR362C,1,25,0.8866666666666667,6.16973463240352e-05,5.4704980407311206e-05,1.1673175524101623e-05
YGL254W,0,24,0.9166666666666666,0.0006871031661834402,0.0006298445690014868,0.00013000033777628908
YKR025W,1,29,0.7339901477832512,0.0018660749016792127,0.0013696805928581413,0.00035306250862099397
YPL007C,1,8,1.0,0.0,0.0,0.0
YOR110W,1,12,0.45454545454545453,0.00047068319190438947,0.00021394690541108613,8.90535467520412e-05
YNR003C,1,33,0.6685606060606061,0.0002759280097983052,0.00018447459745985178,5.2205747609875305e-05
YBR123C,1,30,0.7080459770114943,0.0005546381325561272,0.00039270929845353373,0.00010493787268716632
YPR186C,1,47,0.6530989824236818,0.00012749104798768005,8.326427370888262e-05,2.412138397485809e-05
YOR210W,1,139,0.31623396934626213,0.009061066163333225,0.002865416919339972,0.0017143592400972007
YJL011C,1,31,0.7075268817204301,0.0007970082060769894,0.0005639047307512462,0.00015079443830247333
